what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1417761548469
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1417761549817
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417761551170
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417761578657
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1417761578667
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1417761578667
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417761584523
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417761627974
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1417761627991
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1417761627991
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417761630286
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417761631909
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417776873883
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417776876037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417776878221
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1417776883868
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1417776887646
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1417776887783
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1417776887842
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1417776888005
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1417776888128
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1417776888161
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1417776888429
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1417776888429
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1417776888468
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1417776888468
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1417776888468
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1417776888629
